source	predicate	object	count
DRUGBANK:DB00524	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB00880	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB00393	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB00622	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB01115	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB01023	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB01054	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB00381	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB11720	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB00983	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB01043	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB01390	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB01065	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB12598	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB00811	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB00641	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB00864	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB12453	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB12534	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB14724	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB09079	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB00758	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB00338	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB00545	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB05511	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB00927	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB04932	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB15121	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB00878	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB05382	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB11061	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB00159	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB09035	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB09037	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB01015	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB00440	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB06292	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB00158	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB00328	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB14545	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB00151	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB00633	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB14242	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB01117	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB00783	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB00339	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB00009	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB13127	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB00396	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB00480	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB01118	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB00146	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB09322	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB00704	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB01221	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB00766	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB01060	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB01042	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB00457	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB08813	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB06779	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB06822	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB00472	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB14644	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB15446	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB15035	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB15636	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB00563	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB00279	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB12510	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB01593	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB01097	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB06683	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB04977	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB00773	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB11997	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB00742	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB08882	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB13156	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB09113	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB01261	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB01128	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB06260	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB11952	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB08954	in_clinical_trial_for	MONDO:0100096	1
